time_sec,number_of_times_played,score,difficulty_level,difficulty_level_encoded,needs_intervention,recommendation
162,4,81,Hard,1,Yes,Focus on patience and persistence.
239,1,91,Hard,1,No,Celebrate achievements and set personal growth goals.
152,5,87,Medium,2,Yes,Focus on patience and persistence.
74,5,81,Easy,0,Yes,Focus on patience and persistence.
166,2,41,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
131,5,68,Easy,0,Yes,Focus on patience and persistence.
248,2,31,Hard,1,Yes,Practice deep breathing and pacing yourself. Reflect on mistakes calmly and maintain a growth mindset.
80,1,32,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
162,4,85,Easy,0,Yes,Focus on patience and persistence.
181,4,88,Easy,0,Yes,Focus on patience and persistence.
270,4,31,Hard,1,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
274,5,31,Hard,1,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
134,1,83,Easy,0,No,Celebrate achievements and set personal growth goals.
262,5,30,Easy,0,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
147,5,48,Medium,2,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
176,1,31,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
159,1,82,Medium,2,No,Celebrate achievements and set personal growth goals.
163,1,73,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
211,1,61,Medium,2,No,"Stay mindful, balanced, and focused on your routine."
190,4,99,Hard,1,Yes,Focus on patience and persistence.
209,3,61,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
112,3,97,Easy,0,No,Celebrate achievements and set personal growth goals.
61,1,84,Easy,0,No,Celebrate achievements and set personal growth goals.
147,3,85,Easy,0,No,Celebrate achievements and set personal growth goals.
295,3,46,Medium,2,Yes,Practice deep breathing and pacing yourself. Reflect on mistakes calmly and maintain a growth mindset.
217,1,67,Easy,0,No,"Stay mindful, balanced, and focused on your routine."
97,3,53,Hard,1,Yes,Reflect on mistakes calmly and maintain a growth mindset.
189,5,98,Hard,1,Yes,Focus on patience and persistence.
251,2,99,Easy,0,Yes,Practice deep breathing and pacing yourself.
247,2,40,Hard,1,Yes,Practice deep breathing and pacing yourself. Reflect on mistakes calmly and maintain a growth mindset.
80,1,45,Easy,0,Yes,Reflect on mistakes calmly and maintain a growth mindset.
220,4,88,Easy,0,Yes,Focus on patience and persistence.
263,1,99,Hard,1,Yes,Practice deep breathing and pacing yourself.
117,4,32,Easy,0,Yes,Focus on patience and persistence. Reflect on mistakes calmly and maintain a growth mindset.
81,2,49,Hard,1,Yes,Reflect on mistakes calmly and maintain a growth mindset.
295,1,88,Medium,2,Yes,Practice deep breathing and pacing yourself.
148,5,65,Easy,0,Yes,Focus on patience and persistence.
108,3,48,Medium,2,Yes,Reflect on mistakes calmly and maintain a growth mindset.
278,4,96,Hard,1,Yes,Practice deep breathing and pacing yourself. Focus on patience and persistence.
