_score,timePerScenario,attemptsPerScenario,correctAnswers,completionStatus,Label
30,19.6,2,3,100,Medium
30,16.2,2,3,100,Medium
50,12.8,1,5,100,High
50,10.1,1,5,100,High
0,32.3,3,0,40,Low
30,22.6,2,3,90,Medium
20,32.3,5,2,80,Low
40,11.5,2,4,100,High
40,10.8,1,4,100,High
20,29.7,5,2,40,Low
40,11.5,1,4,100,High
40,19.2,3,4,90,Medium
10,26.1,5,1,60,Low
0,29.4,4,0,40,Low
40,25.0,2,4,80,Medium
20,30.4,3,2,40,Low
0,21.6,5,0,80,Low
20,28.1,5,2,40,Low
50,10.3,2,5,100,High
50,11.4,1,5,100,High
20,19.5,5,2,60,Low
40,9.6,2,4,100,High
10,27.3,5,1,80,Low
30,20.2,2,3,100,Medium
40,13.9,3,4,100,Medium
30,17.2,3,3,90,Medium
20,32.4,3,2,80,Low
40,16.4,3,4,90,Medium
50,13.8,1,5,100,High
50,12.7,1,5,100,High
0,21.5,3,0,80,Low
40,17.0,2,4,80,Medium
40,10.0,2,4,80,Medium
20,26.7,5,2,60,Low
0,21.7,4,0,60,Low
40,11.7,1,4,100,High
0,22.8,3,0,40,Low
10,24.6,3,1,60,Low
50,10.5,2,5,100,High
10,25.8,3,1,60,Low
40,13.0,1,4,100,High
40,19.6,3,4,80,Medium
50,8.9,2,5,100,High
0,25.3,5,0,60,Low
40,10.4,2,4,100,High
40,17.0,2,4,100,Medium
50,12.0,1,5,100,High
10,26.9,3,1,40,Low
40,9.5,2,4,100,High
50,9.4,1,5,100,High
40,13.7,1,4,100,High
40,15.6,1,4,100,High
40,23.6,3,4,80,Medium
0,27.4,3,0,60,Low
40,22.0,2,4,80,Medium
40,15.8,3,4,100,Medium
30,19.6,3,3,80,Medium
40,13.5,2,4,100,Medium
50,14.7,1,5,100,High
0,30.9,5,0,80,Low
50,11.8,1,5,100,High
40,20.2,2,4,100,Medium
40,16.7,3,4,90,Medium
30,20.6,3,3,90,Medium
50,12.5,1,5,100,High
30,15.6,2,3,90,Medium
40,12.9,1,4,100,High
40,15.6,1,4,100,High
40,9.6,1,4,100,High
50,13.0,2,5,100,High
40,13.3,2,4,90,Medium
40,24.0,2,4,90,Medium
40,16.8,3,4,90,Medium
30,19.8,3,3,80,Medium
30,21.6,3,3,90,Medium
30,17.5,3,3,80,Medium
50,14.1,2,5,100,High
40,16.1,2,4,90,Medium
0,24.3,3,0,40,Low
0,21.0,5,0,60,Low
10,29.7,3,1,40,Low
40,14.5,2,4,100,High
30,13.4,3,3,100,Medium
40,11.0,1,4,100,High
0,23.6,4,0,40,Low
40,16.2,3,4,80,Medium
30,24.3,3,3,90,Medium
50,11.0,1,5,100,High
40,18.2,2,4,80,Medium
50,16.7,2,5,100,High
50,13.3,1,5,100,High
30,18.4,2,3,80,Medium
30,21.4,3,3,90,Medium
0,27.2,3,0,80,Low
30,18.8,2,3,90,Medium
